EfficientKAN_32,EfficientKAN_16,MLP_256,MLP_512,MLP_512_256,FasterKAN_32,FasterKAN_128_128,FasterKAN_128_64,FasterKAN_64_64,MLP_256_256,MLP_256_128
13,7,4,5,1298,10,238,0,63,337,125
40,2,6,14,326,9,7,0,53,65,89
365,5,5,20,208,12,352,5,13,10,8
82,11,2,2,979,39,19,18,14,23,1
10,2,2,1,2147,21,148,0,11,353,158
56,5,2,19,2147,77,460,0,47,155,14
14,6,1,5,653,17,709,24,37,103,14
143,6,4,8,3380,8,112,22,2,140,62
89,1,5,20,164,7,232,7,7,5,1
71,11,5,7,200,7,112,0,17,185,2
115,1,2,23,367,14,73,23,44,41,13
46,11,5,2,248,14,88,32,42,61,11
24,1,2,2,218,11,232,17,26,134,23
52,1,1,29,616,50,373,0,65,295,31
17,1,8,7,179,2,103,16,91,334,2
2,7,2,17,2,1,64,0,2,163,17
171,2,2,4,2,14,114,4,121,436,14
55,10,4,13,602,59,4,0,16,122,34
142,5,1,4,689,80,175,45,40,73,11
19,10,4,14,680,2,526,16,21,94,1
58,5,10,0,622,5,286,36,56,229,155
121,13,2,2,1858,14,1138,44,133,16,85
95,1,11,8,1028,23,73,0,131,158,38
110,2,5,8,809,23,112,5,32,122,179
140,7,2,19,191,29,484,15,14,116,68
97,3,2,11,431,4,148,8,1,14,254
66,7,11,8,878,8,97,0,53,8,10
2,5,1,0,167,8,262,21,2,166,5
46,4,14,16,50,6,913,75,38,89,47
345,2,1,14,505,2,52,58,128,214,47
19,5,2,17,359,25,1368,17,8,47,76
13,2,2,5,1760,4,709,3,16,29,5
212,2,2,26,293,29,103,11,17,71,34
28,9,13,17,1361,36,85,21,2,8,32
1,4,5,20,3032,17,793,2,17,286,1
69,11,1,5,760,12,343,0,43,64,86
69,22,3,5,1126,10,1231,13,7,352,1
19,2,11,26,1703,24,319,91,47,101,59
207,4,21,8,2303,44,297,26,2,358,4
175,1,10,2,88,18,451,0,32,10,87
79,5,5,2,818,36,37,13,85,256,217
33,2,8,7,2630,2,481,19,56,43,31
4,2,1,0,386,26,325,0,26,34,38
69,8,3,28,335,17,349,50,68,124,41
32,5,3,5,913,7,229,0,64,44,143
101,4,5,11,1274,68,277,0,169,89,20
146,7,12,25,713,8,301,32,75,41,47
173,2,5,14,1415,29,451,45,1,302,28
1,17,4,7,959,20,448,0,26,425,1
413,4,3,11,1501,31,460,62,2,49,4
40,13,1,1,386,23,640,0,44,137,67
206,10,2,0,217,17,94,0,65,112,76
61,19,4,3,206,50,160,12,125,94,23
209,8,1,11,722,7,202,26,11,137,272
61,5,16,13,572,2,31,37,15,22,19
11,10,4,1,1408,67,274,49,1,254,10
10,2,7,14,2066,25,439,24,4,112,68
4,2,20,5,34,41,177,0,53,247,26
534,2,5,8,329,14,172,21,44,107,29
81,1,2,4,157,83,475,0,58,44,35
224,1,6,11,482,36,337,0,35,11,97
61,1,13,5,575,62,139,2,25,13,185
22,2,7,3,20,5,37,48,41,74,101
95,4,2,17,1814,8,381,0,200,14,23
30,1,2,11,500,13,103,65,4,7,11
10,3,25,49,293,43,616,11,2,269,7
76,2,5,0,179,29,8,20,31,44,239
301,3,4,11,1883,29,4,3,47,53,62
31,4,1,8,686,15,124,0,47,38,82
95,7,2,3,476,9,238,0,148,395,1
48,10,14,2,2137,50,292,10,49,109,1
38,1,6,5,95,5,460,0,23,587,95
66,4,8,11,107,11,85,27,26,93,107
56,2,4,16,370,20,445,40,5,161,127
32,4,3,1,179,26,415,33,38,110,35
98,4,2,8,488,8,52,36,7,56,67
85,22,8,2,1301,13,466,29,20,287,19
1,4,11,40,2792,5,621,0,133,235,80
