07/07 15:05:53: Training started
07/07 15:05:54: Episode 0, New best reward: -8.099999999999998
07/07 15:05:54: Episode 1, New best reward: -6.899999999999999
07/07 15:05:54: Episode 5, New best reward: -6.299999999999999
07/07 15:05:54: Episode 15, New best reward: -5.099999999999998
07/07 15:05:55: Episode 79, New best reward: -3.299999999999998
07/07 15:05:58: Episode 220, New best reward: -2.699999999999998
07/07 15:06:13: Episode 828, New best reward: -2.099999999999998
07/07 15:06:27: Episode 1083, New best reward: -0.8999999999999986
07/07 15:07:33: Episode 1980, New best reward: 1.5
07/07 15:07:35: Episode 1988, New best reward: 3.8999999999999986
07/07 15:20:42: Episode 9341, New best reward: 3.9999999999999982
07/07 15:23:03: Episode 10193, New best reward: 4.399999999999997
07/07 15:25:49: Episode 11207, New best reward: 4.599999999999996
07/07 15:30:27: Episode 13313, New best reward: 6.199999999999994
07/07 15:44:21: Episode 17613, New best reward: 6.499999999999993
07/07 15:46:26: Episode 18082, New best reward: 8.399999999999986
07/07 17:36:33: Episode 49033, New best reward: 10.799999999999981
07/07 17:39:12: Episode 49524, New best reward: 11.29999999999998
07/07 17:42:09: Episode 50047, New best reward: 12.899999999999974
07/07 17:49:00: Episode 51220, New best reward: 17.90000000000001
07/07 17:51:48: Episode 51741, New best reward: 22.700000000000063
07/07 17:59:38: Episode 53460, New best reward: 23.400000000000073
07/07 18:16:15: Episode 56438, New best reward: 28.000000000000124
07/07 18:25:30: Episode 58427, New best reward: 32.800000000000175
07/07 18:41:00: Episode 62250, New best reward: 46.300000000000324
07/07 19:21:49: Episode 73071, New best reward: 51.40000000000038
07/07 19:57:34: Episode 80643, New best reward: 59.900000000000475
07/07 21:23:15: Episode 103504, New best reward: 66.90000000000033
07/07 21:51:36: Episode 109684, New best reward: 67.10000000000032
07/07 23:00:58: Episode 127098, New best reward: 68.90000000000022
07/07 23:06:25: Episode 128551, New best reward: 82.8999999999996
