07/07 15:05:53: Training started
07/07 15:05:54: Episode 0, New best reward: -8.099999999999998
07/07 15:05:54: Episode 1, New best reward: -6.899999999999999
07/07 15:05:54: Episode 5, New best reward: -6.299999999999999
07/07 15:05:54: Episode 15, New best reward: -5.099999999999998
07/07 15:05:55: Episode 79, New best reward: -3.299999999999998
07/07 15:05:58: Episode 220, New best reward: -2.699999999999998
07/07 15:06:13: Episode 828, New best reward: -2.099999999999998
07/07 15:06:27: Episode 1083, New best reward: -0.8999999999999986
07/07 15:07:33: Episode 1980, New best reward: 1.5
07/07 15:07:35: Episode 1988, New best reward: 3.8999999999999986
07/07 15:20:42: Episode 9341, New best reward: 3.9999999999999982
07/07 15:23:03: Episode 10193, New best reward: 4.399999999999997
07/07 15:25:49: Episode 11207, New best reward: 4.599999999999996
07/07 15:30:27: Episode 13313, New best reward: 6.199999999999994
07/07 15:44:21: Episode 17613, New best reward: 6.499999999999993
07/07 15:46:26: Episode 18082, New best reward: 8.399999999999986
