episode,best_reward
Episode 0,-6.899999999999999
Episode 1,-5.699999999999998
Episode 38,-2.699999999999998
Episode 293,-2.099999999999998
Episode 1107,1.5
Episode 3119,3.8999999999999986
Episode 9595,4.799999999999995
Episode 12431,4.899999999999995
Episode 14910,6.599999999999987
Episode 20092,8.399999999999986
Episode 26239,8.799999999999985
Episode 31621,9.099999999999984
Episode 35555,10.89999999999998
Episode 40416,11.29999999999998
Episode 45440,12.899999999999974
Episode 46811,15.09999999999997
Episode 57296,17.90000000000001
Episode 58877,18.400000000000016
Episode 60689,22.40000000000006
Episode 62049,28.000000000000124
Episode 67264,46.10000000000032
Episode 80258,53.300000000000395
Episode 97343,54.90000000000042
Episode 103281,59.900000000000475
Episode 107929,64.40000000000042
Episode 111451,71.30000000000014
Episode 165821,73.89999999999999
Episode 174426,74.09999999999998
Episode 217889,80.79999999999971
Episode 311265,93.5999999999991
Episode 454553,101.89999999999874
Episode 455589,118.49999999999802
