07-19_13-30-57: Training started 
Configuration: {'env_id': 'FlappyBird-v0', 'experience_replay_size': 100000, 'batch_size': 32, 'epsilon_start': 1.0, 'epsilon_end': 0.05, 'epsilon_decay': 0.99995, 'network_update_frequency': 10, 'learning_rate': 0.0001, 'discount_factor': 0.99, 'stop_on_reward': 100000, 'max_episodes': 1000000, 'model_params': {'model_type': 'fasterkan', 'num_hidden_units': [64, 64]}, 'env_params': {'use_lidar': False}}
07-19_13-30-58: Episode 0, New best reward: -8.7
07-19_13-30-58: Episode 2, New best reward: -8.099999999999998
07-19_13-30-58: Episode 6, New best reward: -6.299999999999999
07-19_13-30-58: Episode 11, New best reward: -5.699999999999998
07-19_13-30-58: Episode 38, New best reward: -3.299999999999998
07-19_13-31-00: Episode 301, New best reward: -2.099999999999998
07-19_13-31-04: Episode 1019, New best reward: -1.4999999999999982
07-19_13-31-05: Episode 1247, New best reward: 1.5
07-19_13-31-07: Episode 1587, New best reward: 2.0999999999999996
07-19_13-31-10: Episode 2101, New best reward: 3.299999999999999
07-19_13-31-15: Episode 2826, New best reward: 3.8999999999999986
07-19_13-31-51: Episode 7329, New best reward: 4.399999999999997
07-19_13-31-53: Episode 7597, New best reward: 4.699999999999996
07-19_13-32-48: Episode 13062, New best reward: 4.999999999999995
07-19_13-32-50: Episode 13288, New best reward: 8.399999999999986
07-19_13-35-28: Episode 25827, New best reward: 8.499999999999986
07-19_13-35-34: Episode 26259, New best reward: 10.699999999999982
07-19_13-36-12: Episode 28932, New best reward: 12.899999999999974
07-19_13-37-38: Episode 34656, New best reward: 13.89999999999997
07-19_13-38-45: Episode 38844, New best reward: 13.99999999999997
07-19_13-39-14: Episode 40627, New best reward: 17.90000000000001
07-19_13-40-06: Episode 43741, New best reward: 19.000000000000025
07-19_13-40-32: Episode 45257, New best reward: 22.600000000000062
07-19_13-40-58: Episode 46707, New best reward: 24.80000000000008
07-19_13-41-55: Episode 49700, New best reward: 24.90000000000008
07-19_13-42-19: Episode 50869, New best reward: 26.90000000000011
07-19_13-42-25: Episode 51168, New best reward: 27.00000000000011
07-19_13-42-34: Episode 51561, New best reward: 32.200000000000166
07-19_13-43-04: Episode 52951, New best reward: 33.00000000000018
07-19_13-44-18: Episode 56049, New best reward: 36.40000000000021
07-19_13-44-23: Episode 56257, New best reward: 40.90000000000026
07-19_13-45-36: Episode 59076, New best reward: 46.400000000000325
07-19_13-46-06: Episode 60187, New best reward: 55.20000000000042
07-19_13-46-25: Episode 60884, New best reward: 57.100000000000435
07-19_13-47-59: Episode 64333, New best reward: 65.20000000000037
07-19_13-48-50: Episode 66188, New best reward: 76.5999999999999
07-19_13-50-00: Episode 68767, New best reward: 88.49999999999933
07-19_13-53-07: Episode 75508, New best reward: 94.6999999999991
07-19_16-36-10: Episode 431105, New best reward: 101.89999999999874
