07/07 06:50:21: Training started
07/07 06:50:21: Episode 0, New best reward: -6.899999999999999
07/07 06:50:21: Episode 4, New best reward: -5.699999999999998
07/07 06:50:21: Episode 10, New best reward: -5.099999999999998
07/07 06:50:21: Episode 38, New best reward: -3.899999999999998
07/07 06:50:23: Episode 554, New best reward: -3.299999999999998
07/07 06:50:24: Episode 568, New best reward: -0.29999999999999893
07/07 06:50:27: Episode 1482, New best reward: 0.9000000000000004
07/07 06:50:32: Episode 2462, New best reward: 2.6999999999999993
07/07 06:50:39: Episode 3896, New best reward: 3.299999999999999
07/07 06:50:39: Episode 3950, New best reward: 3.8999999999999986
07/07 06:50:50: Episode 6123, New best reward: 4.4999999999999964
07/07 06:51:22: Episode 11918, New best reward: 4.699999999999996
07/07 06:51:29: Episode 13097, New best reward: 4.899999999999995
07/07 06:51:31: Episode 13366, New best reward: 6.099999999999994
07/07 06:51:32: Episode 13500, New best reward: 6.5999999999999925
07/07 06:51:52: Episode 16678, New best reward: 7.7999999999999865
07/07 06:52:07: Episode 19243, New best reward: 8.899999999999984
07/07 06:52:47: Episode 25045, New best reward: 9.299999999999983
07/07 06:53:05: Episode 27521, New best reward: 11.29999999999998
07/07 06:53:45: Episode 32849, New best reward: 13.399999999999972
07/07 06:54:31: Episode 38780, New best reward: 13.499999999999972
07/07 06:55:18: Episode 44375, New best reward: 15.499999999999975
07/07 07:04:20: Episode 96756, New best reward: 18.500000000000018
07/07 07:05:41: Episode 103689, New best reward: 22.40000000000006
07/07 07:06:56: Episode 108079, New best reward: 23.500000000000075
07/07 07:08:17: Episode 113527, New best reward: 24.600000000000076
07/07 07:08:25: Episode 114065, New best reward: 26.90000000000011
07/07 07:08:26: Episode 114160, New best reward: 27.900000000000123
07/07 07:40:58: Episode 229013, New best reward: 29.30000000000013
07/07 07:51:52: Episode 252436, New best reward: 31.900000000000162
07/07 07:56:21: Episode 261882, New best reward: 32.50000000000017
07/07 08:01:29: Episode 272599, New best reward: 40.90000000000026
07/07 08:15:43: Episode 308112, New best reward: 42.00000000000028
07/07 08:16:13: Episode 309558, New best reward: 43.30000000000028
07/07 08:21:59: Episode 324519, New best reward: 46.400000000000325
07/07 08:21:59: Episode 324527, New best reward: 50.60000000000037
07/07 08:40:35: Episode 365852, New best reward: 78.39999999999979
