episode,best_reward
0,-7.499999999999998
8,-6.899999999999999
10,-6.299999999999999
28,-5.699999999999998
87,-3.299999999999998
314,-2.699999999999998
1010,-2.099999999999998
1539,-1.4999999999999982
1657,2.0999999999999996
1831,2.6999999999999993
2229,3.299999999999999
3408,3.8999999999999986
10796,4.1999999999999975
11737,4.899999999999995
13059,6.099999999999994
16059,6.399999999999993
18558,6.499999999999993
18898,6.5999999999999925
20674,6.799999999999992
22872,8.399999999999986
24300,8.699999999999985
40625,8.999999999999984
40967,11.09999999999998
41574,11.29999999999998
42073,12.899999999999974
44964,13.399999999999972
45500,15.19999999999997
46293,18.100000000000012
46352,22.40000000000006
53265,24.600000000000076
53408,26.90000000000011
60284,36.40000000000021
67469,40.90000000000026
87948,41.100000000000264
101598,41.200000000000266
102049,60.000000000000476
153619,85.29999999999951
349306,92.39999999999917
355443,96.89999999999897
369232,107.0999999999985
439511,110.99999999999834
792605,113.29999999999826
