07-30_11-33-34: Training started 
Configuration: {'env_id': 'FlappyBird-v0', 'experience_replay_size': 100000, 'batch_size': 32, 'epsilon_start': 1.0, 'epsilon_end': 0.05, 'epsilon_decay': 0.99995, 'network_update_frequency': 10, 'learning_rate': 0.0001, 'discount_factor': 0.99, 'stop_on_reward': 100000, 'max_episodes': 1000000, 'model_params': {'model_type': 'mlp', 'num_hidden_units': [256, 256]}, 'env_params': {'use_lidar': False}}
07-30_11-33-40: Episode 0, New best reward: -7.499999999999998
07-30_11-33-41: Episode 8, New best reward: -6.899999999999999
07-30_11-33-41: Episode 10, New best reward: -6.299999999999999
07-30_11-33-41: Episode 28, New best reward: -5.699999999999998
07-30_11-33-42: Episode 87, New best reward: -3.299999999999998
07-30_11-33-42: Episode 314, New best reward: -2.699999999999998
07-30_11-33-47: Episode 1010, New best reward: -2.099999999999998
07-30_11-33-49: Episode 1539, New best reward: -1.4999999999999982
07-30_11-33-49: Episode 1657, New best reward: 2.0999999999999996
07-30_11-33-50: Episode 1831, New best reward: 2.6999999999999993
07-30_11-33-52: Episode 2229, New best reward: 3.299999999999999
07-30_11-33-57: Episode 3408, New best reward: 3.8999999999999986
07-30_11-34-40: Episode 10796, New best reward: 4.1999999999999975
07-30_11-34-44: Episode 11737, New best reward: 4.899999999999995
07-30_11-34-51: Episode 13059, New best reward: 6.099999999999994
07-30_11-35-06: Episode 16059, New best reward: 6.399999999999993
07-30_11-35-19: Episode 18558, New best reward: 6.499999999999993
07-30_11-35-20: Episode 18898, New best reward: 6.5999999999999925
07-30_11-35-31: Episode 20674, New best reward: 6.799999999999992
07-30_11-35-44: Episode 22872, New best reward: 8.399999999999986
07-30_11-35-54: Episode 24300, New best reward: 8.699999999999985
07-30_11-37-42: Episode 40625, New best reward: 8.999999999999984
07-30_11-37-44: Episode 40967, New best reward: 11.09999999999998
07-30_11-37-48: Episode 41574, New best reward: 11.29999999999998
07-30_11-37-52: Episode 42073, New best reward: 12.899999999999974
07-30_11-38-13: Episode 44964, New best reward: 13.399999999999972
07-30_11-38-18: Episode 45500, New best reward: 15.19999999999997
07-30_11-38-24: Episode 46293, New best reward: 18.100000000000012
07-30_11-38-25: Episode 46352, New best reward: 22.40000000000006
07-30_11-39-19: Episode 53265, New best reward: 24.600000000000076
07-30_11-39-20: Episode 53408, New best reward: 26.90000000000011
07-30_11-40-17: Episode 60284, New best reward: 36.40000000000021
07-30_11-41-16: Episode 67469, New best reward: 40.90000000000026
07-30_11-43-57: Episode 87948, New best reward: 41.100000000000264
07-30_11-45-55: Episode 101598, New best reward: 41.200000000000266
07-30_11-46-00: Episode 102049, New best reward: 60.000000000000476
07-30_11-53-54: Episode 153619, New best reward: 85.29999999999951
07-30_12-29-52: Episode 349306, New best reward: 92.39999999999917
07-30_12-31-09: Episode 355443, New best reward: 96.89999999999897
07-30_12-33-58: Episode 369232, New best reward: 107.0999999999985
07-30_12-48-56: Episode 439511, New best reward: 110.99999999999834
07-30_14-21-15: Episode 792605, New best reward: 113.29999999999826
Time taken: 3:50:35, Average time: 72.28 episodes/s
