07-17_20-37-04: Training started 
Configuration: {'env_id': 'FlappyBird-v0', 'experience_replay_size': 100000, 'batch_size': 32, 'epsilon_start': 1.0, 'epsilon_end': 0.05, 'epsilon_decay': 0.99995, 'network_update_frequency': 10, 'learning_rate': 0.0001, 'discount_factor': 0.99, 'stop_on_reward': 100000, 'max_episodes': 1000000, 'model_params': {'model_type': 'mlp', 'num_hidden_units': [512, 256]}, 'env_params': {'use_lidar': False}}
07-17_20-37-18: Episode 0, New best reward: -8.099999999999998
07-17_20-37-20: Episode 1, New best reward: -6.899999999999999
07-17_20-37-20: Episode 12, New best reward: -6.299999999999999
07-17_20-37-21: Episode 65, New best reward: -5.099999999999998
07-17_20-37-22: Episode 176, New best reward: -3.299999999999998
07-17_20-37-30: Episode 931, New best reward: -1.4999999999999982
07-17_20-37-32: Episode 1067, New best reward: -0.8999999999999986
07-17_20-37-38: Episode 1505, New best reward: 1.5
07-17_20-38-08: Episode 3473, New best reward: 3.8999999999999986
07-17_20-39-31: Episode 8177, New best reward: 4.399999999999997
07-17_20-39-54: Episode 9395, New best reward: 4.999999999999995
07-17_20-40-32: Episode 11220, New best reward: 6.199999999999994
07-17_20-41-42: Episode 14593, New best reward: 6.299999999999994
07-17_20-42-02: Episode 15492, New best reward: 8.399999999999986
07-17_20-44-37: Episode 22107, New best reward: 9.399999999999983
07-17_20-48-41: Episode 31464, New best reward: 10.99999999999998
07-17_20-49-20: Episode 32882, New best reward: 12.899999999999974
07-17_20-58-51: Episode 53084, New best reward: 18.200000000000014
07-17_21-00-52: Episode 57149, New best reward: 22.40000000000006
07-17_21-01-15: Episode 57874, New best reward: 22.600000000000062
07-17_21-02-00: Episode 59313, New best reward: 23.30000000000007
07-17_21-03-01: Episode 61214, New best reward: 25.00000000000008
07-17_21-03-13: Episode 61562, New best reward: 27.900000000000123
07-17_21-05-57: Episode 66614, New best reward: 31.900000000000162
07-17_21-08-03: Episode 70528, New best reward: 48.100000000000335
07-17_21-28-03: Episode 103284, New best reward: 48.60000000000034
07-17_21-33-16: Episode 111507, New best reward: 50.40000000000037
07-17_21-35-01: Episode 114182, New best reward: 52.70000000000039
07-17_21-36-40: Episode 116551, New best reward: 62.20000000000049
07-17_21-55-18: Episode 143005, New best reward: 67.00000000000033
07-17_22-01-27: Episode 151307, New best reward: 69.60000000000018
07-17_22-02-39: Episode 152954, New best reward: 79.09999999999975
07-17_22-23-28: Episode 179737, New best reward: 85.09999999999953
07-17_22-43-38: Episode 205544, New best reward: 90.29999999999929
07-17_22-47-25: Episode 210252, New best reward: 104.39999999999866
07-18_07-49-09: Episode 914224, New best reward: 106.39999999999854
Time taken: 12:31:31, Average time: 22.18 episodes/s
