06-15 21:16:23: Training starting...
06-15 21:16:34: New best reward -6.9 (-100.0%) at episode 0, saving model...
06-15 21:16:34: New best reward -5.7 (-17.4%) at episode 1, saving model...
06-15 21:16:35: New best reward -3.9 (-31.6%) at episode 30, saving model...
06-15 21:16:35: New best reward -2.1 (-46.2%) at episode 32, saving model...
06-15 21:16:43: New best reward -1.5 (-28.6%) at episode 958, saving model...
06-15 21:16:48: New best reward 3.3 (-320.0%) at episode 1523, saving model...
06-15 21:16:52: New best reward 3.9 (+18.2%) at episode 1935, saving model...
06-15 21:17:57: New best reward 4.0 (+2.6%) at episode 9189, saving model...
06-15 21:18:15: New best reward 4.2 (+5.0%) at episode 11036, saving model...
06-15 21:18:27: New best reward 4.8 (+14.3%) at episode 12231, saving model...
06-15 21:18:30: New best reward 4.9 (+2.1%) at episode 12484, saving model...
06-15 21:18:57: New best reward 6.5 (+32.7%) at episode 15071, saving model...
06-15 21:19:06: New best reward 8.4 (+29.2%) at episode 15937, saving model...
06-15 21:21:06: New best reward 9.4 (+11.9%) at episode 26098, saving model...
06-15 22:36:35: New best reward 10.7 (+13.8%) at episode 240814, saving model...
06-15 22:36:36: New best reward 11.0 (+2.8%) at episode 240882, saving model...
06-15 22:36:37: New best reward 12.9 (+17.3%) at episode 240931, saving model...
06-15 22:39:38: New best reward 15.0 (+16.3%) at episode 247469, saving model...
06-15 22:41:46: New best reward 17.9 (+19.3%) at episode 251675, saving model...
06-15 22:42:37: New best reward 18.8 (+5.0%) at episode 253192, saving model...
06-15 22:42:48: New best reward 22.9 (+21.8%) at episode 253493, saving model...
06-15 22:44:35: New best reward 23.5 (+2.6%) at episode 256924, saving model...
06-15 22:44:53: New best reward 26.9 (+14.5%) at episode 257482, saving model...
06-15 22:44:58: New best reward 31.9 (+18.6%) at episode 257792, saving model...
06-15 22:46:36: New best reward 34.6 (+8.5%) at episode 260551, saving model...
06-15 22:46:56: New best reward 36.4 (+5.2%) at episode 261078, saving model...
06-15 22:53:26: New best reward 40.9 (+12.4%) at episode 271818, saving model...
06-15 22:57:06: New best reward 41.0 (+0.2%) at episode 278161, saving model...
06-15 23:04:49: New best reward 48.7 (+18.8%) at episode 290927, saving model...
06-15 23:14:08: New best reward 60.7 (+24.6%) at episode 304692, saving model...
06-16 01:08:16: New best reward 64.4 (+6.1%) at episode 458928, saving model...
06-16 02:21:54: New best reward 68.9 (+7.0%) at episode 522084, saving model...
06-16 06:01:32: New best reward 80.9 (+17.4%) at episode 656794, saving model...
06-16 08:31:42: New best reward 82.9 (+2.5%) at episode 733104, saving model...
06-16 13:25:42: New best reward 85.7 (+3.4%) at episode 845852, saving model...
06-16 20:21:55: New best reward 106.4 (+24.2%) at episode 941863, saving model...
